name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 38594 b,58,8.1 Earths,9.77,2020
HIP 38594 c,58,0.15228 Jupiters,9.77,2020
HIP 41378 b,348,8.75 Earths,8.93,2016
HIP 41378 c,348,7.08 Earths,8.93,2016
HIP 41378 d,348,14.9 Earths,8.93,2016
HIP 41378 e,348,26 Earths,8.93,2016
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 65891 b,444,6 Jupiters,6.75,2015
HIP 65 A b,202,3.213 Jupiters,11.13,2020
HIP 67522 b,415,0.228 Jupiters,9.802,2020
HIP 67537 b,367,11.1 Jupiters,6.44,2017
HIP 67851 b,215,1.38 Jupiters,6.17,2015
HIP 67851 c,215,6.3 Jupiters,6.17,2015
HIP 70849 b,79,9 Jupiters,10.36,2009
HIP 71135 b,106,18.8 Earths,10.542,2019
HIP 74890 b,298,2.4 Jupiters,7.05,2016
HIP 78530 b,511,23 Jupiters,7.192,2010
HIP 65891 b,444,6 Jupiters,6.75,2015
HIP 65 A b,202,3.213 Jupiters,11.13,2020
HIP 67522 b,415,0.228 Jupiters,9.802,2020
HIP 67537 b,367,11.1 Jupiters,6.44,2017
HIP 67851 b,215,1.38 Jupiters,6.17,2015
HIP 67851 c,215,6.3 Jupiters,6.17,2015
HIP 70849 b,79,9 Jupiters,10.36,2009
HIP 71135 b,106,18.8 Earths,10.542,2019
HIP 74890 b,298,2.4 Jupiters,7.05,2016
HIP 78530 b,511,23 Jupiters,7.192,2010
HIP 79098 AB b,477,20.5 Jupiters,5.86,2019
HIP 79431 b,47,2.1 Jupiters,11.34,2009
HIP 8541 b,550,5.5 Jupiters,7.88,2016
HIP 91258 b,150,1.09 Jupiters,8.646,2013
HIP 97233 b,335,20 Jupiters,7.34,2014
HN Pegasi b,59,21.9987 Jupiters,5.95,2006
HR 2562 b,111,30 Jupiters,6.11,2016
HR 5183 b,103,3.23 Jupiters,6.3,2019
HR 810 b,57,2.27 Jupiters,5.41,1999
HR 858 b,104,5 Earths,6.4,2019
HR 858 c,104,4.42 Earths,6.4,2019
HR 858 d,104,5.32 Earths,6.4,2019
HR 8799 b,129,7 Jupiters,5.953,2008
HR 8799 c,129,10 Jupiters,5.953,2008
HR 8799 d,129,10 Jupiters,5.953,2008
HR 8799 e,129,10 Jupiters,5.953,2010
HU Aquarii AB b,627,5.9 Jupiters,16.472,2011
HU Aquarii AB c,627,4.5 Jupiters,16.472,2011
HW Virginis b,590,14.48228 Jupiters,10.692,2012
IC 4651 9122 b,2869,6.3 Jupiters,10.534,2018
Iota Draconis b,103,8.82 Jupiters,3.29,2002
K2-100 b,620,12.6 Earths,10.651,2016
K2-101 b,618,4.66 Earths,12.957,2016
K2-102 b,617,2.24 Earths,13.2,2016
K2-104 b,620,4.5 Earths,15.395,2016
K2-105 b,650,30 Earths,11.752,2017
K2-107 b,2273,0.84 Jupiters,12.92,2017
K2-108 b,1582,0.18689 Jupiters,12.33,2017
K2-10 b,895,27 Earths,12.418,2015
K2-110 b,381,16.7 Earths,11.915,2017
Iota Draconis b,103,8.82 Jupiters,3.29,2002
K2-100 b,620,12.6 Earths,10.651,2016
K2-101 b,618,4.66 Earths,12.957,2016
K2-102 b,617,2.24 Earths,13.2,2016
K2-104 b,620,4.5 Earths,15.395,2016
K2-105 b,650,30 Earths,11.752,2017
K2-107 b,2273,0.84 Jupiters,12.92,2017
K2-108 b,1582,0.18689 Jupiters,12.33,2017
K2-10 b,895,27 Earths,12.418,2015
K2-110 b,381,16.7 Earths,11.915,2017
Iota Draconis b,103,8.82 Jupiters,3.29,2002
K2-100 b,620,12.6 Earths,10.651,2016
K2-101 b,618,4.66 Earths,12.957,2016
K2-102 b,617,2.24 Earths,13.2,2016
K2-104 b,620,4.5 Earths,15.395,2016
K2-105 b,650,30 Earths,11.752,2017
K2-107 b,2273,0.84 Jupiters,12.92,2017
K2-108 b,1582,0.18689 Jupiters,12.33,2017
K2-10 b,895,27 Earths,12.418,2015
K2-110 b,381,16.7 Earths,11.915,2017
Iota Draconis b,103,8.82 Jupiters,3.29,2002
K2-100 b,620,12.6 Earths,10.651,2016
K2-101 b,618,4.66 Earths,12.957,2016
K2-102 b,617,2.24 Earths,13.2,2016
K2-104 b,620,4.5 Earths,15.395,2016
K2-105 b,650,30 Earths,11.752,2017
K2-107 b,2273,0.84 Jupiters,12.92,2017
K2-108 b,1582,0.18689 Jupiters,12.33,2017
K2-10 b,895,27 Earths,12.418,2015
K2-110 b,381,16.7 Earths,11.915,2017
Iota Draconis b,103,8.82 Jupiters,3.29,2002
K2-100 b,620,12.6 Earths,10.651,2016
K2-101 b,618,4.66 Earths,12.957,2016
K2-102 b,617,2.24 Earths,13.2,2016
K2-104 b,620,4.5 Earths,15.395,2016
K2-105 b,650,30 Earths,11.752,2017
K2-107 b,2273,0.84 Jupiters,12.92,2017
K2-108 b,1582,0.18689 Jupiters,12.33,2017
K2-10 b,895,27 Earths,12.418,2015
K2-110 b,381,16.7 Earths,11.915,2017
Iota Draconis b,103,8.82 Jupiters,3.29,2002
K2-100 b,620,12.6 Earths,10.651,2016
K2-101 b,618,4.66 Earths,12.957,2016
K2-102 b,617,2.24 Earths,13.2,2016
K2-104 b,620,4.5 Earths,15.395,2016
K2-105 b,650,30 Earths,11.752,2017
K2-107 b,2273,0.84 Jupiters,12.92,2017
K2-108 b,1582,0.18689 Jupiters,12.33,2017
K2-10 b,895,27 Earths,12.418,2015
K2-110 b,381,16.7 Earths,11.915,2017
K2-111 b,657,8.6 Earths,11.137,2017
K2-113 b,2119,1.29 Jupiters,13.684,2017
K2-114 b,1581,1.85 Jupiters,14.556,2017
K2-115 b,1365,0.84 Jupiters,13.362,2017
K2-116 b,161,0.257 Earths,10.91,2017
K2-117 b,333,4.78 Earths,14.655,2017
K2-117 c,333,4.9 Earths,14.655,2017
K2-118 b,1059,6.99 Earths,14.049,2017
K2-119 b,1206,6.94 Earths,14.883,2017
K2-11 b,1084,0.14 Jupiters,13.386,2015
K2-111 b,657,8.6 Earths,11.137,2017
K2-113 b,2119,1.29 Jupiters,13.684,2017
K2-114 b,1581,1.85 Jupiters,14.556,2017
K2-115 b,1365,0.84 Jupiters,13.362,2017
K2-116 b,161,0.257 Earths,10.91,2017
K2-117 b,333,4.78 Earths,14.655,2017
K2-117 c,333,4.9 Earths,14.655,2017
K2-118 b,1059,6.99 Earths,14.049,2017
K2-119 b,1206,6.94 Earths,14.883,2017
K2-11 b,1084,0.14 Jupiters,13.386,2015
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-125 b,406,5.39 Earths,16.122,2017
K2-126 b,337,4.54 Earths,12.918,2017
K2-127 b,2362,0.167 Jupiters,15.037,2017
K2-128 b,375,2.6 Earths,12.627,2017
K2-129 b,91,1.12 Earths,13.63,2017
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-125 b,406,5.39 Earths,16.122,2017
K2-126 b,337,4.54 Earths,12.918,2017
K2-127 b,2362,0.167 Jupiters,15.037,2017
K2-128 b,375,2.6 Earths,12.627,2017
K2-129 b,91,1.12 Earths,13.63,2017
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-125 b,406,5.39 Earths,16.122,2017
K2-126 b,337,4.54 Earths,12.918,2017
K2-127 b,2362,0.167 Jupiters,15.037,2017
K2-128 b,375,2.6 Earths,12.627,2017
K2-129 b,91,1.12 Earths,13.63,2017
K2-120 b,944,4.7 Earths,14.045,2017
K2-121 b,556,0.138 Jupiters,13.319,2017
K2-122 b,235,1.92 Earths,13.15,2017
K2-123 b,530,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,15.462,2017
K2-125 b,406,5.39 Earths,16.122,2017
K2-126 b,337,4.54 Earths,12.918,2017
K2-127 b,2362,0.167 Jupiters,15.037,2017
K2-128 b,375,2.6 Earths,12.627,2017
K2-129 b,91,1.12 Earths,13.63,2017
K2-136 d,194,2.7 Earths,10.855,2017
K2-137 b,323,0.5 Jupiters,15.498,2017
K2-138 b,597,3.09 Earths,12.21,2017
K2-138 c,597,6.9 Earths,12.21,2017
K2-138 d,597,7.56 Earths,12.21,2017
K2-138 e,597,10.8 Earths,12.21,2017
K2-138 f,597,8.3 Earths,12.21,2017
K2-139 b,504,0.387 Jupiters,11.653,2017
K2-13 b,1128,4.23 Earths,12.901,2015
K2-140 b,1114,1.019 Jupiters,12.624,2017
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-154 b,423,4.62 Earths,14.033,2018
K2-154 c,423,4.94 Earths,14.033,2018
K2-155 b,267,3.89 Earths,12.806,2018
K2-155 c,267,7.27 Earths,12.806,2018
K2-155 d,267,4.27 Earths,12.806,2018
K2-156 b,491,1.6 Earths,13.424,2018
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-154 b,423,4.62 Earths,14.033,2018
K2-154 c,423,4.94 Earths,14.033,2018
K2-155 b,267,3.89 Earths,12.806,2018
K2-155 c,267,7.27 Earths,12.806,2018
K2-155 d,267,4.27 Earths,12.806,2018
K2-156 b,491,1.6 Earths,13.424,2018
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-154 b,423,4.62 Earths,14.033,2018
K2-154 c,423,4.94 Earths,14.033,2018
K2-155 b,267,3.89 Earths,12.806,2018
K2-155 c,267,7.27 Earths,12.806,2018
K2-155 d,267,4.27 Earths,12.806,2018
K2-156 b,491,1.6 Earths,13.424,2018
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-154 b,423,4.62 Earths,14.033,2018
K2-154 c,423,4.94 Earths,14.033,2018
K2-155 b,267,3.89 Earths,12.806,2018
K2-155 c,267,7.27 Earths,12.806,2018
K2-155 d,267,4.27 Earths,12.806,2018
K2-156 b,491,1.6 Earths,13.424,2018
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-154 b,423,4.62 Earths,14.033,2018
K2-154 c,423,4.94 Earths,14.033,2018
K2-155 b,267,3.89 Earths,12.806,2018
K2-155 c,267,7.27 Earths,12.806,2018
K2-155 d,267,4.27 Earths,12.806,2018
K2-156 b,491,1.6 Earths,13.424,2018
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-154 b,423,4.62 Earths,14.033,2018
K2-154 c,423,4.94 Earths,14.033,2018
K2-155 b,267,3.89 Earths,12.806,2018
K2-155 c,267,7.27 Earths,12.806,2018
K2-155 d,267,4.27 Earths,12.806,2018
K2-156 b,491,1.6 Earths,13.424,2018
K2-150 b,359,4.66 Earths,15.829,2018
K2-151 b,227,2.83 Earths,14.14,2018
K2-152 b,355,5.86 Earths,13.728,2018
K2-153 b,468,4.66 Earths,14.979,2018
K2-154 b,423,4.62 Earths,14.033,2018
K2-154 c,423,4.94 Earths,14.033,2018
K2-155 b,267,3.89 Earths,12.806,2018
K2-155 c,267,7.27 Earths,12.806,2018
K2-155 d,267,4.27 Earths,12.806,2018
K2-156 b,491,1.6 Earths,13.424,2018
K2-165 b,441,2.17 Earths,11.331,2018
K2-165 c,441,3.03 Earths,11.331,2018
K2-165 d,441,7.5 Earths,11.331,2018
K2-166 b,1569,5.43 Earths,12.074,2018
K2-167 b,264,8.34 Earths,8.239,2018
K2-168 b,801,4.12 Earths,12.291,2018
K2-169 b,774,2.16 Earths,12.229,2018
K2-16 b,1103,4.74 Earths,14.67,2015
K2-16 c,1103,6.99 Earths,14.67,2015
K2-170 b,1296,2.6 Earths,12.633,2018
K2-170 c,1296,3.9 Earths,12.633,2018
K2-171 b,2011,7.69 Earths,12.66,2018
K2-172 b,820,3.42 Earths,12.438,2018
K2-172 c,820,10.4 Earths,12.438,2018
K2-173 b,751,3.22 Earths,12.403,2018
K2-174 b,327,7.27 Earths,12.424,2018
K2-175 b,812,4.81 Earths,10.836,2018
K2-176 b,812,2.83 Earths,12.893,2018
K2-177 b,1628,5.13 Earths,12.645,2018
K2-178 b,705,12.4 Earths,12.403,2018
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-187 e,1088,6.26 Earths,13.081,2018
K2-188 b,1477,2.39 Earths,12.646,2018
K2-188 c,1477,8.4 Earths,12.646,2018
K2-189 b,796,2.92 Earths,12.399,2018
K2-189 c,796,6.8 Earths,12.399,2018
K2-18 b,124,8.92 Earths,13.496,2015
K2-186 b,1089,10.2 Earths,12.307,2018
K2-187 b,1088,2.24 Earths,13.081,2018
K2-187 c,1088,3.89 Earths,13.081,2018
K2-187 d,1088,10.2 Earths,13.081,2018
K2-187 e,1088,6.26 Earths,13.081,2018
K2-188 b,1477,2.39 Earths,12.646,2018
K2-188 c,1477,8.4 Earths,12.646,2018
K2-189 b,796,2.92 Earths,12.399,2018
K2-189 c,796,6.8 Earths,12.399,2018
K2-18 b,124,8.92 Earths,13.496,2015
K2-18 c,124,7.51 Earths,13.496,2017
K2-190 b,527,2.41 Earths,11.138,2018
K2-190 c,527,1.34 Earths,11.138,2018
K2-191 b,945,3.12 Earths,13.258,2018
K2-192 b,731,2.92 Earths,12.704,2018
K2-193 b,1360,14.8 Earths,13.251,2018
K2-194 b,2090,12.9 Earths,12.908,2018
K2-195 b,1037,9.96 Earths,12.497,2018
K2-195 c,1037,7.16 Earths,12.497,2018
K2-196 b,1938,12.6 Earths,12.06,2018
K2-18 c,124,7.51 Earths,13.496,2017
K2-190 b,527,2.41 Earths,11.138,2018
K2-190 c,527,1.34 Earths,11.138,2018
K2-191 b,945,3.12 Earths,13.258,2018
K2-192 b,731,2.92 Earths,12.704,2018
K2-193 b,1360,14.8 Earths,13.251,2018
K2-194 b,2090,12.9 Earths,12.908,2018
K2-195 b,1037,9.96 Earths,12.497,2018
K2-195 c,1037,7.16 Earths,12.497,2018
K2-196 b,1938,12.6 Earths,12.06,2018
K2-18 c,124,7.51 Earths,13.496,2017
K2-190 b,527,2.41 Earths,11.138,2018
K2-190 c,527,1.34 Earths,11.138,2018
K2-191 b,945,3.12 Earths,13.258,2018
K2-192 b,731,2.92 Earths,12.704,2018
K2-193 b,1360,14.8 Earths,13.251,2018
K2-194 b,2090,12.9 Earths,12.908,2018
K2-195 b,1037,9.96 Earths,12.497,2018
K2-195 c,1037,7.16 Earths,12.497,2018
K2-196 b,1938,12.6 Earths,12.06,2018
K2-18 c,124,7.51 Earths,13.496,2017
K2-190 b,527,2.41 Earths,11.138,2018
K2-190 c,527,1.34 Earths,11.138,2018
K2-191 b,945,3.12 Earths,13.258,2018
K2-192 b,731,2.92 Earths,12.704,2018
K2-193 b,1360,14.8 Earths,13.251,2018
K2-194 b,2090,12.9 Earths,12.908,2018
K2-195 b,1037,9.96 Earths,12.497,2018
K2-195 c,1037,7.16 Earths,12.497,2018
K2-196 b,1938,12.6 Earths,12.06,2018
K2-18 c,124,7.51 Earths,13.496,2017
K2-190 b,527,2.41 Earths,11.138,2018
K2-190 c,527,1.34 Earths,11.138,2018
K2-191 b,945,3.12 Earths,13.258,2018
K2-192 b,731,2.92 Earths,12.704,2018
K2-193 b,1360,14.8 Earths,13.251,2018
K2-194 b,2090,12.9 Earths,12.908,2018
K2-195 b,1037,9.96 Earths,12.497,2018
K2-195 c,1037,7.16 Earths,12.497,2018
K2-196 b,1938,12.6 Earths,12.06,2018
K2-197 b,814,7.08 Earths,12.157,2018
K2-198 b,362,16.3 Earths,10.971,2018
K2-198 c,362,2.61 Earths,10.971,2019
K2-198 d,362,6.52 Earths,10.971,2019
K2-199 b,352,4.16 Earths,12.289,2018
K2-199 c,352,8.15 Earths,12.289,2018
K2-19 b,953,28.5 Earths,13,2015
K2-19 c,953,15.9 Earths,13,2015
K2-19 d,953,14 Earths,13,2016
K2-200 b,604,2.43 Earths,12.459,2018
K2-197 b,814,7.08 Earths,12.157,2018
K2-198 b,362,16.3 Earths,10.971,2018
K2-198 c,362,2.61 Earths,10.971,2019
K2-198 d,362,6.52 Earths,10.971,2019
K2-199 b,352,4.16 Earths,12.289,2018
K2-199 c,352,8.15 Earths,12.289,2018
K2-19 b,953,28.5 Earths,13,2015
K2-19 c,953,15.9 Earths,13,2015
K2-19 d,953,14 Earths,13,2016
K2-200 b,604,2.43 Earths,12.459,2018
K2-210 b,579,0.474 Earths,11.535,2018
K2-211 b,895,2.46 Earths,13.075,2018
K2-212 b,357,6.9 Earths,13.1,2018
K2-213 b,1285,2.9 Earths,11.803,2018
K2-214 b,989,6.48 Earths,11.805,2018
K2-215 b,1333,5.16 Earths,12.986,2018
K2-216 b,378,8 Earths,12.476,2018
K2-217 b,1259,12.5 Earths,12.187,2018
K2-218 b,1300,7.13 Earths,12.876,2018
K2-219 b,1071,2.38 Earths,12.09,2018
K2-219 c,1071,2.66 Earths,12.09,2018
K2-219 d,1071,7.16 Earths,12.09,2018
K2-21 b,274,4.04 Earths,12.85,2015
K2-21 c,274,6.76 Earths,12.85,2015
K2-220 b,766,6.3 Earths,11.89,2018
K2-221 b,1049,3.46 Earths,12.703,2018
K2-222 b,331,6.3 Earths,9.543,2018
K2-223 b,656,0.64 Earths,11.431,2018
K2-223 c,656,3.09 Earths,11.431,2018
K2-224 b,906,3.05 Earths,12.682,2018
K2-224 c,906,6.39 Earths,12.682,2018
K2-225 b,1175,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.308,2018
K2-227 b,614,3.41 Earths,12.015,2018
K2-228 b,465,1.92 Earths,12.995,2018
K2-229 b,339,2.49 Earths,10.985,2018
K2-229 c,339,21.3 Earths,10.985,2018
K2-22 b,801,1.4 Jupiters,15.597,2015
K2-230 b,1791,4.5 Earths,12.707,2018
K2-231 b,962,6.8 Earths,12.708,2018
K2-224 c,906,6.39 Earths,12.682,2018
K2-225 b,1175,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.308,2018
K2-227 b,614,3.41 Earths,12.015,2018
K2-228 b,465,1.92 Earths,12.995,2018
K2-229 b,339,2.49 Earths,10.985,2018
K2-229 c,339,21.3 Earths,10.985,2018
K2-22 b,801,1.4 Jupiters,15.597,2015
K2-230 b,1791,4.5 Earths,12.707,2018
K2-231 b,962,6.8 Earths,12.708,2018
K2-224 c,906,6.39 Earths,12.682,2018
K2-225 b,1175,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.308,2018
K2-227 b,614,3.41 Earths,12.015,2018
K2-228 b,465,1.92 Earths,12.995,2018
K2-229 b,339,2.49 Earths,10.985,2018
K2-229 c,339,21.3 Earths,10.985,2018
K2-22 b,801,1.4 Jupiters,15.597,2015
K2-230 b,1791,4.5 Earths,12.707,2018
K2-231 b,962,6.8 Earths,12.708,2018
K2-224 c,906,6.39 Earths,12.682,2018
K2-225 b,1175,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.308,2018
K2-227 b,614,3.41 Earths,12.015,2018
K2-228 b,465,1.92 Earths,12.995,2018
K2-229 b,339,2.49 Earths,10.985,2018
K2-229 c,339,21.3 Earths,10.985,2018
K2-22 b,801,1.4 Jupiters,15.597,2015
K2-230 b,1791,4.5 Earths,12.707,2018
K2-231 b,962,6.8 Earths,12.708,2018
K2-224 c,906,6.39 Earths,12.682,2018
K2-225 b,1175,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.308,2018
K2-227 b,614,3.41 Earths,12.015,2018
K2-228 b,465,1.92 Earths,12.995,2018
K2-229 b,339,2.49 Earths,10.985,2018
K2-229 c,339,21.3 Earths,10.985,2018
K2-22 b,801,1.4 Jupiters,15.597,2015
K2-230 b,1791,4.5 Earths,12.707,2018
K2-231 b,962,6.8 Earths,12.708,2018
K2-224 c,906,6.39 Earths,12.682,2018
K2-225 b,1175,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.308,2018
K2-227 b,614,3.41 Earths,12.015,2018
K2-228 b,465,1.92 Earths,12.995,2018
K2-229 b,339,2.49 Earths,10.985,2018
K2-229 c,339,21.3 Earths,10.985,2018
K2-22 b,801,1.4 Jupiters,15.597,2015
K2-230 b,1791,4.5 Earths,12.707,2018
K2-231 b,962,6.8 Earths,12.708,2018
K2-264 c,610,7.6 Earths,15.662,2018
K2-265 b,454,6.54 Earths,11.102,2018
K2-266 b,252,11.26782 Earths,11.808,2018
K2-266 c,252,0.29013 Earths,11.808,2018
K2-266 d,252,8.9 Earths,11.808,2018
K2-266 e,252,14.3 Earths,11.808,2018
K2-268 b,1081,2.57 Earths,13.853,2018
K2-268 c,1081,7.7 Earths,13.853,2018
K2-269 b,1181,3.09 Earths,11.784,2018
K2-26 b,324,7.61 Earths,14.53,2016
K2-270 b,925,2.48 Earths,13.782,2018
K2-270 c,925,9.01 Earths,13.782,2018
K2-271 b,1864,0.131 Jupiters,13.827,2018
K2-272 b,1391,8.8 Earths,13.841,2018
K2-273 b,1013,17.9 Earths,13.371,2018
K2-274 b,759,5.48 Earths,13.086,2018
K2-275 b,405,5.65 Earths,12.063,2018
K2-275 c,405,6.08 Earths,12.063,2018
K2-276 b,1598,13.7 Earths,14.627,2018
K2-277 b,370,4.94 Earths,10.364,2018
K2-270 b,925,2.48 Earths,13.782,2018
K2-270 c,925,9.01 Earths,13.782,2018
K2-271 b,1864,0.131 Jupiters,13.827,2018
K2-272 b,1391,8.8 Earths,13.841,2018
K2-273 b,1013,17.9 Earths,13.371,2018
K2-274 b,759,5.48 Earths,13.086,2018
K2-275 b,405,5.65 Earths,12.063,2018
K2-275 c,405,6.08 Earths,12.063,2018
K2-276 b,1598,13.7 Earths,14.627,2018
K2-277 b,370,4.94 Earths,10.364,2018
K2-270 b,925,2.48 Earths,13.782,2018
K2-270 c,925,9.01 Earths,13.782,2018
K2-271 b,1864,0.131 Jupiters,13.827,2018
K2-272 b,1391,8.8 Earths,13.841,2018
K2-273 b,1013,17.9 Earths,13.371,2018
K2-274 b,759,5.48 Earths,13.086,2018
K2-275 b,405,5.65 Earths,12.063,2018
K2-275 c,405,6.08 Earths,12.063,2018
K2-276 b,1598,13.7 Earths,14.627,2018
K2-277 b,370,4.94 Earths,10.364,2018
K2-270 b,925,2.48 Earths,13.782,2018
K2-270 c,925,9.01 Earths,13.782,2018
K2-271 b,1864,0.131 Jupiters,13.827,2018
K2-272 b,1391,8.8 Earths,13.841,2018
K2-273 b,1013,17.9 Earths,13.371,2018
K2-274 b,759,5.48 Earths,13.086,2018
K2-275 b,405,5.65 Earths,12.063,2018
K2-275 c,405,6.08 Earths,12.063,2018
K2-276 b,1598,13.7 Earths,14.627,2018
K2-277 b,370,4.94 Earths,10.364,2018
K2-278 b,2623,9.17 Earths,13.412,2018
K2-279 b,600,1.92 Earths,11.491,2018
K2-27 b,820,30.9 Earths,12.64,2016
K2-280 b,1295,0.144 Jupiters,12.536,2018
K2-281 b,1520,0.16 Jupiters,15.117,2018
K2-282 b,1638,8.35 Earths,14.042,2018
K2-283 b,1332,12.2 Earths,14.445,2018
K2-284 b,351,8.15 Earths,13.322,2018
K2-285 b,508,9.68 Earths,12.03,2018
K2-285 c,508,15.68 Earths,12.03,2018
K2-285 d,508,6.5 Earths,12.03,2018
K2-285 e,508,10.7 Earths,12.03,2018
K2-286 b,249,5.06 Earths,12.763,2018
K2-287 b,519,0.315 Jupiters,11.41,2018
K2-288 B b,214,4.27 Earths,13.868,2018
K2-289 b,883,0.192 Jupiters,14.465,2019
K2-28 b,206,5.99 Earths,16.061,2016
K2-290 b,897,10.9 Earths,11.114,2019
K2-290 c,897,0.774 Jupiters,11.114,2019
K2-291 b,295,6.49 Earths,10.014,2019
K2-292 b,373,24.5 Earths,9.917,2019
K2-293 b,1294,6.57 Earths,13.357,2019
K2-294 b,1230,3.39 Earths,12.502,2019
K2-295 b,736,0.335 Jupiters,13.946,2018
K2-29 b,585,0.73 Jupiters,12.526,2016
K2-308 b,,0.222 Jupiters,14.963,2019
K2-30 b,1097,0.579 Jupiters,13.53,2016
K2-315 b,185,0.809 Earths,17.67,2020
K2-316 b,368,2.33 Earths,15.514,2020
K2-316 c,368,4.01 Earths,15.514,2020
K2-326 b,928,5.82 Earths,15.342,2020
K2-32 b,517,16.5 Earths,12.31,2016
K2-32 c,517,12.1 Earths,12.31,2016
K2-32 d,517,10.3 Earths,12.31,2016
K2-32 e,517,1.01 Earths,12.31,2019
K2-33 b,456,3.7 Jupiters,15.714,2016
K2-34 b,1149,1.698 Jupiters,11.548,2016
K2-35 b,830,4.38 Earths,14.35,2016
K2-35 c,830,2.3 Earths,14.35,2016
K2-36 b,359,3.9 Earths,11.8,2016
K2-292 b,373,24.5 Earths,9.917,2019
K2-293 b,1294,6.57 Earths,13.357,2019
K2-294 b,1230,3.39 Earths,12.502,2019
K2-295 b,736,0.335 Jupiters,13.946,2018
K2-29 b,585,0.73 Jupiters,12.526,2016
K2-308 b,,0.222 Jupiters,14.963,2019
K2-30 b,1097,0.579 Jupiters,13.53,2016
K2-315 b,185,0.809 Earths,17.67,2020
K2-316 b,368,2.33 Earths,15.514,2020
K2-316 c,368,4.01 Earths,15.514,2020
K2-326 b,928,5.82 Earths,15.342,2020
K2-32 b,517,16.5 Earths,12.31,2016
K2-32 c,517,12.1 Earths,12.31,2016
K2-32 d,517,10.3 Earths,12.31,2016
K2-32 e,517,1.01 Earths,12.31,2019
K2-33 b,456,3.7 Jupiters,15.714,2016
K2-34 b,1149,1.698 Jupiters,11.548,2016
K2-35 b,830,4.38 Earths,14.35,2016
K2-35 c,830,2.3 Earths,14.35,2016
K2-36 b,359,3.9 Earths,11.8,2016
K2-326 b,928,5.82 Earths,15.342,2020
K2-32 b,517,16.5 Earths,12.31,2016
K2-32 c,517,12.1 Earths,12.31,2016
K2-32 d,517,10.3 Earths,12.31,2016
K2-32 e,517,1.01 Earths,12.31,2019
K2-33 b,456,3.7 Jupiters,15.714,2016
K2-34 b,1149,1.698 Jupiters,11.548,2016
K2-35 b,830,4.38 Earths,14.35,2016
K2-35 c,830,2.3 Earths,14.35,2016
K2-36 b,359,3.9 Earths,11.8,2016
K2-326 b,928,5.82 Earths,15.342,2020
K2-32 b,517,16.5 Earths,12.31,2016
